PMCID	Location	Plant	LiteratureActivities	TargetOrganisms	Target species	Activity table	Activity figure	EO composition table
PMC4391421	Romania	Thymus vulgaris	antimicrobial, expectorant, antitussive, antibroncholitic, antispasmodic, anthelmintic, carminative and diuretic	Staphylococcus aureus, Pseudomonas aeruginosa , Salmonella typhimurium , Escherichia coli , Klebsiella pneumoniae , Enterococcus faecalis and Candida albicans 		Table 2 - Effects of thyme oil against bacteria expressed by the mean sizes of the inhibitory zones 	Fig. 1 - The antimicrobial activity of thyme oil, at different amounts, expressed as a mean inhibition zone for each of the nine repeated measurements 	Table 1 - Chemical composition of thyme EO
PMC5080681	(Palestine)	Thymus bovei		Staphylococcus aureus, Escherichia coli, Pseudomonas aeruginosa,Staphylococcus aureus, Candida albicans	Pheretima posthuma			
PMC5132230	West Asian and North African regions, Palestinian 	Aeollanthus suaveolens	antimicrobial, antioxidant, anthelmintic, expectorant, antispasmodic, antiseptic,antifungal	Candida albicans	Pheretima posthuma			Table 1 - Chemical composition of the Aeollanthus suaveolens essential oil. 
PMC5203915	Siberia	Rhaponticum carthamoides	cytotoxic, antioxidant, antimicrobial, antiparasitic, anti-inflammatory,  carcinogenic,adaptogenic, Saccharomyces cerevisiae, Candida albicans	Staphylococcus aureus, Enterococcus faecalis , Escherichia coli and  Pseudomonas aeruginosa			Figure 1 - The cell viability of astrocytes after 24 h treatment with essential oils from Rhaponticum carthamoides hairy roots (HR) and roots of soil-grown plants (SGR)	Table 1 -  Percentage of composition of essential oils from Rhaponticum carthamoides roots of soil-grown plants (SGR) and hairy roots (HR).
PMC5237462	Brazil, Amazon region	Mentha piperita	Antioxidant, Cytotoxic, Antimicrobial, Larvicidal, antivomitive, carminative, stomachic, anthelmintic, topical antibacterial, antifungal, and antipruritic	Staphylococcus aureus, Escherichia coli	A. aegypti.			Table 1 - The chemical composition of the essential oil 
PMC5248495 		Ocimum basilicum, and Ocimum citriodorum	antioxidant, antibacterial and antifungal 				Fig. 1 - The minimal inhibitory concentrations (MICs) of O. citriodorum, O. basilicum var. thyrsiflora and O. basilicum var. purpureum essential oils on selected Gram-positive, Gram-negative bacteria and fungi. Antibiotic-resistant E. coli dhpÎ±-pUC18 strain was used.	Table 1 - Chemical composition of essential oils of Ocimum basilicum var .purpureum, Ocium basilicum var . thyrsiflora, Ocimum citriodorum
PMC5282690 	Oriental Morocco	Artemisia campestris	antibacterial, antifungal, insecticidal, antitumor , antivenin , hepatoprotective, nephroprotective, antidiabetic,vasorelaxant, antioxidant and antiplatelet					
PMC5307246	Cameroon, Burkina Faso	Lannea kerstingii						Table 5 -  The contents of total and individual tocopherols and tocotrienols of L. kerstingii seed oil
PMC5307902	Brazil	P. amboinicus	antifungal, antibacterial,  antimicrobial, antiviral, anti-inflammatory, and repellent properties.					
PMC5324201 	Bangladesh	Anethum Sowa	Anethum Sowa antioxidant, antimicrobial and cytotoxicity	Bacillus subtilis, Staphylococcus aureus, Bacillus cereus, Enterococcus faecalis, Salmonella typhi , E. coli , Pseudomonas aeruginosa, Salmonella enteritidis, Acetobacter aceti,  Candida albicans, Aspergillus niger, Sacharomyces cerevaceae and Trichoderma sp.				Table 9 - Compound composition (% w/w) in the essential oil and water extract part of Anethum sowa L. root 
PMC5330108 		Mentha piperita	antifungal, antibacterial, anti-inflammatory, cytotoxic		F. sporotrichioides			
PMC5344628	Romanian	Thymus vulgaris, Eugenia caryophyllus, Syzygium aromaticum, Rosmarinus officinalis, Melaleuca alternifolia aetheroleum 	antimicrobial, antibacterial, antifungal, antioxidant, antiviral, antimycotic, antitoxigenic, antiparasitic, antibiotic, antiseptic,  insecticidal	Aspergillus brasiliensis, Fusarium graminearum, Penicillium corylophilum,  Staphylococcus aureus,  Escherichia coli, and Listeria monocytogenes	Fusarium graminearum		Figure 5 - The essential oils selected were tested against Fusarium graminearum.	Table 1 - The total concentration of phenolic compounds found in essential oil,Table 2 - The main classes of compounds identified in the studied essential oils,Table 3 - quantitative composition (based on Gas Chromatographz with Flame Ioniyation Detector (GC-FID) of the analyzed essential oils.
PMC5364420	China	 Cyperus rotundus	Antioxidant, DNA Damage Protective, Cytotoxic and Antibacterial 				Fig 1 - a significant indicator of the potential of antioxidant activity, Fig 2 - The protection effects of the essential oil from C. rotundus rhizomes on DNA oxidative damage induced by Fe 2+ and AAPH were evaluated, Fig 3 -   a significant decrease in cell viability and LDH leakage was observed in C. rotundus essential oil treatment. 	Table 1 - Chemical compositions of the essential oil
PMC5393100 	Iran	Pimpinella anisum 	antibacterial and antifungal	 Staphylococcus aureus, Streptococcus pyogenes, Escherichia coli, and several species of the fungus, Candida				Table 1 - Essential oil composition of Pimpinella anisum fruit. 
PMC5397855	Brasil	Allium sativum Linnaeus	 Antimicrobial, cardiovascular, anticancer, hypo- and hyper-glycaemic,  insecticidal	Sarocladium oryzae, Sitophilus zeamais , Sitotroga cerealella Oliver and Tribolium castaneum	Tenebrio molitor			(Fig. 1, Table 2) - A total of 14 compounds from the garlic essential oil were obtained, 10 compounds were identified and 4 unknown which accounted for 97.54% of the total composition.
PMC5411863	 Lakes Region in Turkey.	KUNDMANNIA ANATOLICA						Table 2 - Percentage composition of the essential oil of the fruits of K.anatolica Hub.-Mor. 
PMC5412227	 Iran	DRACOCEPHALUM KOTSCHYI	ANTIMICROBIAL, ANTIOXIDANT, AND CYTOTOXIC	Staphylococcus aureus, Escherichia coli, Pseudomonas aeruginosa, Klebsiella pneumoniae, Salmonella spp, and Streptococci		Table 3 - Antimicrobial activity of D. kotschy essential oils.		Table 1 - Chemical composition of the essential oils from the aerial parts of D. kotschyi.
PMC5423258	Egypt	 Calocedrus decurrens, Cupressus sempervirens and Tetraclinis articulata	 Antimicrobial 	Staphylococcus aureus , Staphylococcus epidermidis , Streptococcus pyogenes , Eschrechia coli , Klebsiella pneumoniae , Proteus vulgaris , Pseudomonas aeruginosa and Shigella boydii, Candida albicans , Candida glabrata , Candida krusei and Candida parapsilosis		Table 4 - Antibacterial activities (MIC and MBC) of C. decurrens, C. sempervirens and T. articulata essential oils, Table 5 - Antifungal activities (MIC and MFC) of C. decurrens, C. sempervirens and T. articulata essential oils		Table 2 - Chemical composition of essential oils of C. decurrens, C. sempervirens and T. articulat a aerial parts 
PMC5426739	Iran	olive, sesame and flaxseed 						
PMC5427463	Tunisia 	Salvia officinalis	 antioxidant, antimicrobial, insecticidal, allelopathic, antitumoral, antidiabetic, and antioxidant	Sarracenia leucophylla and Salvia apiana	Spodoptera littoralis larvae and Tribolium castaneum	 		Table 1 - the compounds of the volatile oil and their relative percentages
PMC5448358	Republic of Congo	 Elyonurus hensii						Table 3 - Chemical composition of the essential oil of the aerial part and the roots of Elyonurus hensii (site Loufoulakari)
PMC5454990 	Brazil	 Ocotea caudata, Ocotea cujumary, and Ocotea caniculata	 antimicrobial and cytotoxic	 Bacillus cereus , Escherichia coli , Pseudomonas aeruginosa , Staphylococcus aureus , and Staphylococcus epidermidis 				
PMC5485486	Morocco 	Aloysia citriodora 	Cytotoxic and Antibacterial	 Escherichia coli, Staphylococcus aureus, and Pseudomonas aeruginosa				Table 1 -  Chemical composition after GC-MS analysis of the essential oils of A. citriodora.
PMC5486035	 Iran, Turkey, the USA, Syria, Italy, Tunisia, and Greece	Pistacia vera	Antioxidant, Cytoprotective, and Antimicrobial					Table 1 - The essential oil composition, with retention indices and percentages.
PMC5497343	 Eastern Cape, South Africa	Tagetes minuta	antibacterial and antioxidant	Streptococcus uberis, Enterobacter cloacae , Staphylococcus aureus, Mycobacterium smegmatis, Listeria ivanovii, Vibrio spp. and Escherichia coli			Fig. 2 - Antioxidant effect of essential oil of T. minuta flower and vitamin C on DPPH radical , Fig. 3 - Antioxidant effect of essential oil of T. minuta flower and vitamin C on ABTS radical  	Table 2 - Chemical composition of the essential oils of T. minuta flower 
PMC5507808	Abomey-calavi (southern Benin)	Pimenta racemosa		fermented fish flour				Table 1 - Chemical composition of essential oil of Pimenta racemosa investigated 
PMC5524814	Valencian region (spain)	Salvia Species	 anti-nociceptive, anti-inflammatory, antioxidant and inhibitor of cholinesterase 					Table 4 - Composition of the essential oils of Salvia blancoana subsp. mariolensis, S. x hegelmaieri and S. officinalis subsp. lavandulifolia from the Valencia region (Spain) and close areas, Table 5 - Comparison of the composition found for the essential oils from S. blancoana subsp. mariolensis, S. x hegelmaieri and S. officinalis subsp. lavandulifolia to the current requirements for Spanish sage oil in the standards from the European Pharmacopoeia (EDQM, 2016) (monograph 1849), ISO ( 2005) (standard ISO 3526) and AENOR ( 2001) (standard UNE 84310). 
PMC5527698	Morocco	Mentha piperita	antimicrobial			Table 2 - The minimum inhibitory concentrations of Mentha piperita essential oil against bacterial strains tested  , Table 3 -  The minimum inhibitory concentrations of Mentha piperita essential oil against fungal strains tested 		Table 1 - Chemical composition of Mentha piperita essential oil.
PMC5535876	Morocco	Argania spinosa						
PMC5543433	Tunisia	Citrus lemon	antioxidant and antimicrobial	 Listeria monocytogenes, Staphylococcus aureus, Escherichia coli 		Table 2 - Antibacterial activity of ClEO against foodborne, spoiling bacteria and determination of the Minimum Inhibitory Concentrations (MICs) expressed in mg/ml , Table 3 - Antifungal activity of ClEO and determination of the Minimum Fungicidal Concentrations (MFCs) expressed in mg/ml 		Table 1 - Chemical composition of essential oil isolated by hydrodistillation from flowers of ClEO
PMC5546729 	Indian and Iranian	Nigella sativa	antitumor agent, diuretic agent, analgesic agent, anti-cestode and anti-nematode agent, antidiabetic agent, bactericide, and antiulcerogenic agent.					Table 1 - The chemical compositions of N. sativa seed identified by GC-MS
PMC5551175	Cameroon	Azadirachta indica, Aframomum melegueta, Aframomum daniellii, Clausena anisata, Dichrostachys cinerea and Echinops giganteus		Trypanosoma brucei 				Table 1 - The chemical composition of the essential oils hydrodistilled from the six Cameroonian medicinal and aromatic plants
PMC5568258	Brazil	Myracrodruon urundeuva	antibacterial and Cytotoxic					Table 1 - Essential oil components identified by GC-MS and GC/FID
PMC5569441		 cinnamon	anti-anxiety, anti-depressant,  anti-inflammatory , anti-oxidant , anti-diabetic, anti-microbial , analgesic, wound-healing  properties,  Anticancer , lipid-lowering  and cardiovascular					Table 1 - Chemical composition of cinnamon in the essential oil of cinnamon bark
PMC5575638	 north Alabama, USA	Allium sativum, Allium vineale	antifungal , antibacterial , acaricidal , antiparasitic , nematicidal , antiviral , and insecticidal					Table 2 - Essential oil compositions of garlic (Allium sativum) obtained by different distillation methods
PMC5577677		oregano	antimicrobial, anti-inflammatory, and antioxidativ					
PMC5585972	Tanzania	 cinnamon and clove	Mosquito larvicidal					Table 3 -  Chemical composition of the cinnamon essential oil, Table 4 - Chemical composition of clove essential oil 
PMC5590060 	Nigeria	Eryngium foetidum	Antioxidant				Figure 1 - DPPH radical scavenging activity of E. foetidum essential oils.	 Table 1 - Composition of E. foetidum essential oils.
PMC5590062	Brazil	Avicennia schaueriana	Antimicrobial and Antioxidant					Table 1 - CompositionoftheessentialoilsfromtheleavesofA.schauerianacollectedatEstaçãoEcológica Jureia-Itatins (1) and Parque Estadual da Ilha do Cardoso (2).
PMC5590063	Brazil	Hymenaea courbaril var. courbaril, Myroxylon peruiferum, and Vismia guianensis	 Antifungal	Candida  albicans, Candida  tropicalis, Candida parapsilosis, Candida glabrata, and Candida  krusei				Table 1 - The chemical composition of the essential oils
PMC5590065 	Akwa Ibom State, Nigeria	Aframomum danielli	Antioxidant 				Figure 1 - 2,2-Dipenyl-1-picrylhydrazyl radical scavenging activity of A. danielli essential oils. 	Table 1 -  Composition of A. danielli essential oils., Table 2 - Percentage composition of classes of compounds in A. danielli essential oils. 
PMC5590066 	France 	Achillea millefolium	Antioxidant and Antimicrobial			Table 3 - Antibacterial activity of Achillea millefolium L. EO against bacterial pathogens. ,  Table 4 - Antifungal activity of Achillea millefolium L. EO		Table 1 - Chemical composition of EO of wild Achillea millefolium L. (aerial parts) from Toulouse region, France.
PMC5590067	 Brazil	Zanthoxylum monogynum 	Cytotoxic and Antimicrobial	Candida dubliniensis, Candida tropicalis, Candida glabrata, Candida parapsilosis, Candida krusei, Candida albicans, Cryptococcus grubii, Cryptococcus gattii, Cryptococcus gattii, Cryptococcus neoformans, Saccharomyces cerevisiae, Escherichia coli Serratia marcescens, Pseudomonas aeruginosa, Staphylococcus epidermidis, Enterococcus faecali				Table 2 - Chemical composition of the essential oil of Z. monogynum
PMC5590070	(Saguenay-Lac-St-Jean, Chicoutimi, QC, Canada	Tanacetum vulgare	Anti-Inflammatory, Antioxidant, Antibiotic, Cytotoxic, anthelmintic, emmenagogue, antihypertensive, carminative, antispasmodic, antidiabetic, diuretic, and an anti-inflammatory 	Tanacetum balsamita, Tanacetum polycephalum, Tanacetum parthenium, Tanacetum longifolium, Tanacetum cilicicum, Staphylococcus aureus and Escherichia coli		Table 2 - Anti-inflammation, antioxidant, antibacterial, and cytotoxic activities of T. vulgare essential oil and its main constituents 		Table 1 - Chemical composition of T. vulgare essential oil from northern Quebec, Canada. 
PMC5592951			 antimicrobials, antioxidants, antitumorals, and anti-inflammatories					Table 1 - Number of identified compounds in the EOs
PMC5597067	 Zhejiang, China	Citrus medica		Staphylococcus aureus, Bacillus cereus, Pseudomonas aeruginosa , Serratia marcescens , Candida albicans and Aspergillus niger				Table 1 - Peak Identiﬁcation and Weight Percentage for the Components of Essential Oils.
PMC5602041	Egypt	Conyza dioscoridis, Artemisia herba-alba Asso and Calendula officinalis 						Table 3 - Identified compounds in the essential oils of the plants used in the present study, Table 4 - Plants with repellent activity against Ixodes ricinus and some of their major chemical constituents which might contribute to their activity  
PMC5602841	Brazil	Plectranthus amboinicus		Staphylococcus aureus				Table 2 - Chemical characterization of the essential oil extracted from leaves of Plectranthus amboinicus
PMC5603114 	Brazil	Protium heptaphyllum	 antifungal, antibacterial, antioxidant, anticancer, antispasmodic, vasorelaxation, decreased heart rate, and hypotension					Table 1 -  Chemical composition of resin essential oil of P. heptaphyllum, EOPh.
PMC5613177	Alexandria University, Egypt	Rosmarinus officinalis 	antioxidant, antibacterial and anticancer					Table 2 - Means of leaves major essential oils constitutes in two successive seasons (2016 and 2017) following salinity (ppm) and salicylic acid (ppm) treatments. 
