15,18,18,19,15,8,12,17,18,10,9,9,10,6,8,8,13,7,5,7,7,8,7,3,7
14,17,17,15,16,6,12,15,19,13,9,10,8,5,8,6,11,9,6,9,7,7,9,5,7
9,10,11,7,13,3,8,10,11,7,6,5,5,4,5,4,5,5,4,5,6,6,8,4,2
10,11,10,13,12,5,8,15,12,6,7,7,6,3,5,5,8,7,3,7,6,6,5,3,3
9,15,13,10,16,6,10,14,16,12,6,7,7,5,7,5,11,9,6,7,4,7,9,4,5
10,8,9,9,11,3,7,10,10,7,6,9,4,2,4,6,8,4,3,6,3,5,7,3,5
7,7,8,8,10,3,5,9,9,4,2,3,7,2,4,4,4,5,1,2,3,5,7,2,1
4,4,5,6,8,3,2,6,6,3,3,5,3,2,1,3,4,3,2,3,3,3,4,2,0
4,6,5,4,5,0,2,6,10,3,4,3,2,2,2,2,1,2,1,0,2,5,4,2,2
4,5,3,3,5,1,5,6,4,2,2,1,3,3,2,1,1,4,1,1,3,3,3,0,0
5,4,3,3,6,3,4,7,3,2,5,4,1,2,1,3,2,3,2,3,3,2,3,2,0
5,7,6,4,4,1,3,5,3,5,5,6,2,2,3,1,3,1,0,2,2,2,4,2,3
1,3,3,2,3,1,3,3,1,4,5,5,1,0,1,0,1,2,1,2,1,1,3,2,2
3,2,3,1,3,2,2,3,2,1,2,3,2,2,1,1,0,1,0,2,2,1,3,2,0
3,2,3,4,5,2,3,4,4,4,5,5,3,2,3,2,3,2,0,3,2,3,3,3,0
2,5,4,2,2,0,3,3,3,0,0,1,1,1,0,1,0,1,0,2,2,1,1,0,2
1,2,2,3,1,1,2,6,1,2,4,4,0,0,1,1,2,2,1,2,1,0,1,1,1
2,1,2,3,3,2,1,3,1,0,2,2,1,0,0,3,2,2,2,2,1,1,1,1,0
3,2,4,4,4,1,2,3,3,3,1,1,1,0,0,0,2,2,2,2,2,0,4,3,1
2,4,4,2,7,2,4,5,3,2,2,4,1,0,1,0,3,2,1,2,0,1,4,1,2
1,3,3,3,2,0,2,3,3,0,2,1,2,2,1,1,0,0,0,1,2,0,3,1,2
2,3,2,4,2,1,3,6,2,1,2,2,3,1,0,1,1,4,2,1,1,2,1,0,0
1,3,2,4,1,1,1,3,2,3,3,5,1,1,2,1,2,1,0,1,1,2,2,2,1
2,3,4,3,2,4,3,4,3,2,1,2,2,1,2,1,1,2,1,2,1,1,3,1,2
0,2,3,2,3,2,1,4,3,0,3,3,1,0,1,0,0,1,1,2,2,0,3,2,0
